#body,head,ruleId,isAgg
freezeOf,freezeSum,4,true
totalUnfreeze,freezeOf,11,false
spentTotal,allowance,21,false
totalBalances,unequalBalance,10,false
allMint,totalSupply,15,false
burn,allBurn,25,true
recv_unfreeze,unfreeze,7,false
balanceOf,totalBalances,18,true
totalOut,balanceOf,3,false
mint,totalMint,14,true
transfer,totalIn,8,true
recv_mint,mint,22,false
totalFreeze,freezeOf,11,false
totalMint,balanceOf,3,false
allowanceTotal,allowance,21,false
freezeSum,unequalBalance,10,false
recv_freeze,freeze,19,false
transferFrom,transfer,1,false
freeze,totalFreeze,0,true
totalIn,balanceOf,3,false
burn,totalBurn,13,true
recv_transferFrom,transferFrom,24,false
transferFrom,spentTotal,6,true
totalSupply,unequalBalance,10,false
recv_transfer,transfer,16,false
recv_burn,burn,5,false
mint,allMint,9,true
totalBurn,balanceOf,3,false
transfer,totalOut,17,true
recv_approve,increaseAllowance,23,false
allBurn,totalSupply,15,false
unfreeze,totalUnfreeze,12,true
increaseAllowance,allowanceTotal,26,true
freezeOf,balanceOf,3,false
