#body,head,ruleId,isAgg
refundTotal,balanceOf,2,false
raised,missingFund,10,false
recv_refund,refund,3,false
closed,refund,3,false
totalBalance,missingFund,10,false
raised,refund,3,false
withdraw,send,0,false
closed,missingFund,10,false
closed,invest,4,false
recv_close,closed,9,false
recv_withdraw,withdraw,8,false
investTotal,balanceOf,2,false
raised,invest,4,false
balanceOf,totalBalance,15,true
balanceOf,refund,3,false
refund,refundTotal,14,true
invest,raised,13,true
raised,withdraw,8,false
recv_invest,invest,4,false
refund,send,1,false
invest,investTotal,5,true
