#body,head,ruleId,isAgg,isTx
transferFrom,transfer,0,false,false
mint,allMint,2,true,false
totalSupply,unequalBalance,3,false,false
totalBalances,unequalBalance,3,false,false
owner,burn,4,false,true
balanceOf,burn,4,false,true
totalMint,balanceOf,5,false,false
totalBurn,balanceOf,5,false,false
totalOut,balanceOf,5,false,false
totalIn,balanceOf,5,false,false
transferFrom,spentTotal,6,true,false
transfer,totalIn,8,true,false
burn,totalBurn,9,true,false
mint,totalMint,10,true,false
allBurn,totalSupply,11,false,false
allMint,totalSupply,11,false,false
balanceOf,transfer,12,false,true
transfer,totalOut,13,true,false
balanceOf,totalBalances,14,true,false
allowanceTotal,allowance,15,false,false
spentTotal,allowance,15,false,false
owner,mint,16,false,true
allowance,increaseAllowance,17,false,true
allowance,transferFrom,18,false,true
balanceOf,transferFrom,18,false,true
burn,allBurn,19,true,false
increaseAllowance,allowanceTotal,20,true,false
