#body,head,ruleId,isAgg
allowance,increaseAllowance,29,false
burn,totalBurn,15,true
transferFrom,spentTotal,24,true
transferFrom,transfer,1,false
allowance,transferFrom,30,false
recv_operatorSend,operatorSend,25,false
recv_mint,mint,27,false
recv_operatorSend,operatorSend,28,false
operators,operatorSend,25,false
operators,operatorBurn,4,false
balanceOf,operatorSend,25,false
allowanceTotal,allowance,26,false
recv_operatorSend,operatorSend,13,false
totalMint,balanceOf,6,false
mint,totalMint,16,true
balanceOf,transferFrom,30,false
recv_operatorBurn,operatorBurn,4,false
recv_operatorBurn,operatorBurn,19,false
mint,allMint,3,true
revokedDefaultOperator,operatorBurn,2,false
revokedDefaultOperator,operatorSend,28,false
balanceOf,operatorBurn,19,false
allBurn,totalSupply,17,false
balanceOf,operatorBurn,4,false
totalBurn,balanceOf,6,false
burn,allBurn,31,true
recv_revokeDefaultOperator,operators,21,false
balanceOf,operatorBurn,2,false
spentTotal,allowance,26,false
recv_revokeDefaultOperator,revokedDefaultOperator,14,false
recv_approve,increaseAllowance,29,false
balanceOf,operatorSend,28,false
operatorSend,transfer,7,false
allMint,totalSupply,17,false
recv_transfer,transfer,22,false
balanceOf,operatorSend,13,false
transfer,totalIn,9,true
recv_operatorBurn,operatorBurn,2,false
recv_approveOperator,revokedDefaultOperator,0,false
recv_burn,burn,20,false
totalOut,balanceOf,6,false
totalIn,balanceOf,6,false
recv_transferFrom,transferFrom,30,false
transfer,totalOut,23,true
recv_approveOperator,operators,5,false
balanceOf,transfer,22,false
operators,inconsistentOperator,18,false
increaseAllowance,allowanceTotal,10,true
balanceOf,burn,20,false
operatorBurn,burn,11,false
