#body,head,ruleId,isAgg,isTx
validRecipient,transferFrom,0,false,true
allowance,transferFrom,0,false,true
balanceOf,transferFrom,0,false,true
transferFrom,transfer,1,false,false
mint,allMint,3,true,false
totalBalances,unequalBalance,5,false,false
totalSupply,unequalBalance,5,false,false
balanceOf,transfer,6,false,true
validRecipient,transfer,6,false,true
balanceOf,burn,7,false,true
owner,burn,7,false,true
totalBurn,balanceOf,8,false,false
totalMint,balanceOf,8,false,false
totalIn,balanceOf,8,false,false
totalOut,balanceOf,8,false,false
transferFrom,spentTotal,9,true,false
transfer,totalIn,11,true,false
burn,totalBurn,12,true,false
mint,totalMint,13,true,false
allMint,totalSupply,14,false,false
allBurn,totalSupply,14,false,false
transfer,totalOut,15,true,false
balanceOf,totalBalances,16,true,false
allowanceTotal,allowance,17,false,false
spentTotal,allowance,17,false,false
owner,mint,18,false,true
burn,allBurn,19,true,false
allowance,increaseAllowance,20,false,true
validRecipient,increaseAllowance,20,false,true
increaseAllowance,allowanceTotal,21,true,false
