#body,head,ruleId,isAgg
ownerOf,transfer,9,false
approval,approved,4,false
isApprovedForAll,transfer,7,false
exists,transfer,3,false
exists,transfer,12,false
ownerOf,transfer,12,false
recv_transfer,transfer,9,false
ownerOf,transfer,7,false
exists,tokenNoOwner,8,false
latestTransfer,exists,11,false
latestTransfer,ownerOf,0,false
recv_setApproval,approval,1,false
recv_transferFrom,transfer,7,false
ownerOf,tokenNoOwner,8,false
ownerOf,approval,1,false
ownerOf,approved,4,false
transfer,latestTransfer,13,true
recv_burn,transfer,12,false
recv_mint,transfer,3,false
recv_transferFrom,transfer,6,false
ownerOf,balanceOf,5,true
recv_setApprovalForAll,isApprovedForAll,2,false
approved,transfer,6,false
