#body,head,ruleId,isAgg,isTx
balanceOf,transferFromWithFee,0,false,true
rate,transferFromWithFee,0,false,true
maxFee,transferFromWithFee,0,false,true
allowance,transferFromWithFee,0,false,true
isBlackListed,transferFromWithFee,0,false,true
transferFrom,transfer,1,false,false
allIssue,totalSupply,2,false,false
allRedeem,totalSupply,2,false,false
owner,transfer,3,false,false
transferWithFee,transfer,3,false,false
destroyBlackFund,redeem,5,false,false
owner,addBlackList,6,false,true
totalOut,balanceOf,7,false,false
totalRedeem,balanceOf,7,false,false
totalIn,balanceOf,7,false,false
totalIssue,balanceOf,7,false,false
maxFee,transferWithFee,8,false,true
balanceOf,transferWithFee,8,false,true
rate,transferWithFee,8,false,true
isBlackListed,transferWithFee,8,false,true
totalBalances,unequalBalance,9,false,false
totalSupply,unequalBalance,9,false,false
owner,transferFrom,10,false,false
transferFromWithFee,transferFrom,10,false,false
owner,issue,11,false,true
transferFrom,spentTotal,12,true,false
issue,totalIssue,14,true,false
spentTotal,allowance,15,false,false
allowanceTotal,allowance,15,false,false
redeem,allRedeem,16,true,false
isBlackListed,destroyBlackFund,17,false,true
balanceOf,destroyBlackFund,17,false,true
owner,destroyBlackFund,17,false,true
redeem,totalRedeem,18,true,false
addBlackList,isBlackListed,19,false,false
transferWithFee,transfer,20,false,false
transferFromWithFee,transferFrom,21,false,false
transfer,totalOut,22,true,false
balanceOf,totalBalances,23,true,false
owner,redeem,24,false,true
balanceOf,redeem,24,false,true
allowance,increaseAllowance,25,false,true
issue,allIssue,26,true,false
transfer,totalIn,27,true,false
increaseAllowance,allowanceTotal,28,true,false
