#body,head,ruleId,isAgg
totalBurn,balanceOfByPartition,16,false
recv_redeemByPartition,redeemByPartition,9,false
redeemByPartition,redeemTotalByPartition,13,true
allBurn,totalSupply,7,false
issueByPartition,totalMint,8,true
redeemByPartition,allBurn,10,true
balanceOfByPartition,redeemByPartition,9,false
issueByPartition,issueTotalByPartition,5,true
totalSupplyByPartition,unequalBalance,12,false
redeemTotalByPartition,totalSupplyByPartition,4,false
balanceOfByPartition,totalBalancesByPartition,2,true
redeemByPartition,totalBurn,14,true
totalBalancesByPartition,unequalBalance,12,false
totalIn,balanceOfByPartition,16,false
issueTotalByPartition,totalSupplyByPartition,4,false
transferByPartition,totalIn,15,true
allMint,totalSupply,7,false
transferByPartition,totalOut,6,true
recv_issueByPartition,issueByPartition,1,false
issueByPartition,allMint,0,true
totalOut,balanceOfByPartition,16,false
totalMint,balanceOfByPartition,16,false
recv_transferByPartition,transferByPartition,17,false
balanceOfByPartition,transferByPartition,17,false
