#body,head,ruleId,isAgg
reclaimToken,send,5,false
burn,totalBurn,18,true
paused,transfer,3,false
recv_burn,burn,8,false
reclaimToken,transfer,4,false
recv_mint,mint,25,false
recv_claimOwnership,claimOwnership,14,false
recv_transferOwner,pendingOwner,10,false
recv_transferFrom,transferFrom,15,false
balanceOf,reclaimToken,7,false
totalBurn,balanceOf,9,false
allowance,transferFrom,15,false
pendingOwner,claimOwnership,14,false
burn,allBurn,26,true
allMint,totalSupply,20,false
allowance,increaseAllowance,28,false
totalIn,balanceOf,9,false
claimOwnership,pendingOwner,1,false
transferFrom,transfer,0,false
mint,allMint,2,true
allowanceTotal,allowance,23,false
transferFrom,spentTotal,11,true
mint,totalMint,19,true
balanceOf,totalBalances,22,true
balanceOf,transferFrom,15,false
recv_unpause,paused,24,false
totalMint,balanceOf,9,false
totalSupply,unequalBalance,6,false
recv_pause,paused,16,false
paused,transferFrom,15,false
claimOwnership,owner,27,false
balanceOf,burn,8,false
totalOut,balanceOf,9,false
recv_transfer,transfer,3,false
owner,paused,16,false
owner,reclaimToken,7,false
recv_approve,increaseAllowance,28,false
owner,mint,25,false
balanceOf,transfer,3,false
spentTotal,allowance,23,false
transfer,totalIn,13,true
owner,pendingOwner,10,false
totalBalances,unequalBalance,6,false
allBurn,totalSupply,20,false
transfer,totalOut,21,true
recv_reclaimToken,reclaimToken,7,false
owner,burn,8,false
owner,paused,24,false
increaseAllowance,allowanceTotal,29,true
