benchmark,relations,interfaces,rules_minus_interface_and_violation,violation_rules,synthesis_time_s,bmc_time_s,cegis_iterations,bmc_bound,verify_pass,synth_quality
wallet.dl,10,5,7,3,6.718,2.784,8,5,3/3,good
erc20.dl,17,8,13,5,70.579,13.603,65,5,1/1,good
bnb.dl,24,11,15,5,61.233,16.055,58,5,2/2,good
matic.dl,21,13,14,7,91.23,19.188,65,5,error,good
controllable.dl,19,11,15,6,67.029,15.11,54,5,2/2,good
tether.dl,20,10,13,5,59.831,12.696,56,5,2/2,good
brickBlockToken.dl,24,12,20,8,6.072,2.814,4,5,,good
shib.dl,17,9,13,4,50.246,12.126,52,5,1/1,good
tokenPartition.dl,14,6,10,9,1.085,0.929,0,5,2/2,good
wbtc.dl,22,13,15,12,41.462,12.606,37,5,2/3,good
linktoken.dl,20,9,17,7,61.977,13.445,62,5,1/1,good
ltcSwapAsset.dl,23,9,19,16,5.374,2.378,3,5,1/1,good
cappedCrowdSale.dl,20,15,13,8,115.476,19.394,64,5,,partial(finalize-degenerate-guard)
auction.dl,9,7,4,6,1.478,0.699,1,5,4/6,good
crowFunding.dl,14,8,13,9,4.314,2.195,5,5,7/9,good
finalizableCrowdSale.dl,20,10,14,6,49.729,11.056,46,5,,good
voting.dl,6,8,3,4,2.483,1.082,3,5,3/4,good
nft.dl,9,9,4,6,3.781,1.671,11,5,6/6,good
multiSig.dl,11,7,5,8,0.7,0.594,0,5,,good
dao.dl,14,4,10,8,1.968,0.832,1,5,,good
sushi.dl,14,7,9,4,14.63,2.93,16,5,,good(minor:allowance-lt-vs-le)
erc20roles.dl,18,10,12,6,17.31,4.584,18,5,,good(minor:allowance-lt-vs-le)
dai.dl,18,10,12,6,14.721,4.466,15,5,,good(minor:allowance-lt-vs-le)
weth.dl,16,8,10,7,16.887,4.066,19,5,,good
stakingRewards.dl,12,6,7,6,1.397,0.665,1,5,,good(minor:unstake-lt-vs-le)
comp.dl,21,8,25,7,10.839,2.641,9,5,,good(minor:transfer-lt-vs-le)
erc20burnable.dl,19,9,13,7,29.271,7.126,32,5,,good(minor:burnFrom-lt-vs-le)
erc20capped.dl,25,9,31,8,12.608,2.691,11,5,,partial(transfer-wrong-address;transferFrom-cap-check)
uni.dl,21,9,25,7,2.687,0.24,2,5,,partial(transfer-no-balance-guard;transferFrom-supply-check)
aave.dl,24,9,29,7,3.19,0.311,2,5,,partial(transfer-no-balance-guard;transferFrom-supply-check)

aave.dl,24,9,29,7,6.724,0.673,2,5
auction.dl,9,7,4,6,1.776,1.412,1,5
comp.dl,21,8,25,7,18.876,6.259,9,5
dai.dl,18,10,12,6,37.051,11.798,19,5
