benchmark,relations,interfaces,rules_minus_interface_and_violation,violation_rules,synthesis_time_s,bmc_time_s,cegis_iterations,bmc_bound
Mana.dl,22,4,23,13,1.845,1.219,2,5
auction.dl,16,4,15,10,0.627,0.615,0,5
crowdsale.dl,36,15,31,30,54.59,9.91,15,5
crowdsale2.dl,36,15,31,36,52.871,11.424,14,5
erc1155.dl,17,8,11,13,2.41,2.398,0,5
erc777.dl,20,15,14,36,190.291,67.502,36,5
nft.dl,4,11,11,15,1.397,1.373,0,5
paymentSplitter.dl,9,2,6,3,0.152,0.15,0,5
stbt.dl,27,9,22,24,1.738,1.721,0,5
theta.dl,23,10,18,17,1.412,1.405,0,5
voting.dl,5,8,3,6,0.334,0.332,0,5
vestingWallet.dl,9,2,7,2,4.565,0.817,15,5
