#body,head,ruleId,isAgg,isTx
transferFrom,transfer,0,false,false
controllerTransfer,transfer,2,false,false
totalSupply,unequalBalance,3,false,false
totalBalances,unequalBalance,3,false,false
balanceOf,controllerRedeem,4,false,true
controller,controllerRedeem,4,false,true
balanceOf,burn,5,false,true
owner,burn,5,false,true
transferFrom,spentTotal,6,true,false
transfer,totalIn,8,true,false
controller,controllerTransfer,9,false,true
balanceOf,controllerTransfer,9,false,true
mint,allMint,10,true,false
burn,totalBurn,11,true,false
mint,totalMint,12,true,false
allMint,totalSupply,13,false,false
allBurn,totalSupply,13,false,false
balanceOf,transfer,14,false,true
transfer,totalOut,15,true,false
balanceOf,totalBalances,16,true,false
controllerRedeem,burn,17,false,false
totalOut,balanceOf,18,false,false
totalBurn,balanceOf,18,false,false
totalIn,balanceOf,18,false,false
totalMint,balanceOf,18,false,false
allowanceTotal,allowance,19,false,false
spentTotal,allowance,19,false,false
owner,mint,20,false,true
allowance,increaseAllowance,21,false,true
allowance,transferFrom,22,false,true
balanceOf,transferFrom,22,false,true
burn,allBurn,23,true,false
increaseAllowance,allowanceTotal,24,true,false
