#body,head,ruleId,isAgg,isTx
spentTotal,allowance,0,false,false
allowanceTotal,allowance,0,false,false
allowance,increaseAllowance,1,false,true
totalMint,balanceOf,2,false,false
totalOut,balanceOf,2,false,false
totalIn,balanceOf,2,false,false
totalBurn,balanceOf,2,false,false
burn,allBurn,3,true,false
owner,burn,4,false,true
balanceOf,burn,4,false,true
burn,totalBurn,5,true,false
owner,mint,7,false,true
transferFrom,transfer,8,false,false
balanceOf,transfer,9,false,true
allMint,totalSupply,10,false,false
allBurn,totalSupply,10,false,false
balanceOf,totalBalances,11,true,false
transfer,totalOut,12,true,false
mint,totalMint,13,true,false
mint,allMint,14,true,false
transfer,totalIn,15,true,false
increaseAllowance,allowanceTotal,16,true,false
transferFrom,spentTotal,17,true,false
balanceOf,transferFrom,18,false,true
allowance,transferFrom,18,false,true
totalSupply,unequalBalance,19,false,false
totalBalances,unequalBalance,19,false,false
