#body,head,ruleId,isAgg,isTx
mint,allMint,0,true,false
 ,validRecipient,1,false,false
balanceOf,transfer,2,false,true
validRecipient,transfer,2,false,true
owner,burn,3,false,true
balanceOf,burn,3,false,true
totalMint,balanceOf,4,false,false
totalIn,balanceOf,4,false,false
totalOut,balanceOf,4,false,false
totalBurn,balanceOf,4,false,false
decreaseAllowance,decreaseAllowanceTotal,6,true,false
validRecipient,decreaseAllowance,7,false,true
allowance,decreaseAllowance,7,false,true
owner,mint,9,false,true
transfer,totalIn,10,true,false
allowance,transferFrom,11,false,true
validRecipient,transferFrom,11,false,true
balanceOf,transferFrom,11,false,true
validRecipient,increaseAllowance,12,false,true
transferFrom,transfer,14,false,false
burn,totalBurn,15,true,false
mint,totalMint,16,true,false
allMint,totalSupply,17,false,false
allBurn,totalSupply,17,false,false
totalBalances,unequalBalance,18,false,false
totalSupply,unequalBalance,18,false,false
transfer,totalOut,20,true,false
balanceOf,totalBalances,21,true,false
transferFrom,spentTotal,22,true,false
decreaseAllowanceTotal,allowance,24,false,false
allowanceTotal,allowance,24,false,false
spentTotal,allowance,24,false,false
burn,allBurn,25,true,false
allowance,increaseAllowance,26,false,true
validRecipient,increaseAllowance,26,false,true
increaseAllowance,allowanceTotal,28,true,false
