#body,head,ruleId,isAgg,isTx
isPauser,isPauser,0,false,true
transferFrom,transfer,1,false,false
balanceOf,transferFrom,2,false,true
paused,transferFrom,2,false,true
allowance,transferFrom,2,false,true
owner,mint,3,false,true
paused,mint,3,false,true
decreaseAllowance,decreaseAllowanceTotal,4,true,false
isPauser,isPauser,5,false,true
transfer,totalIn,7,true,false
owner,burn,8,false,true
paused,burn,8,false,true
balanceOf,burn,8,false,true
mint,allMint,9,true,false
 ,increaseAllowance,10,false,true
paused,transfer,11,false,true
balanceOf,transfer,11,false,true
paused,paused,13,false,true
isPauser,paused,13,false,true
burn,totalBurn,14,true,false
mint,totalMint,15,true,false
allMint,totalSupply,16,false,false
allBurn,totalSupply,16,false,false
allowance,decreaseAllowance,17,false,true
totalSupply,unequalBalance,19,false,false
totalBalances,unequalBalance,19,false,false
paused,paused,21,false,true
isPauser,paused,21,false,true
transfer,totalOut,23,true,false
balanceOf,totalBalances,24,true,false
totalMint,balanceOf,26,false,false
totalOut,balanceOf,26,false,false
totalBurn,balanceOf,26,false,false
totalIn,balanceOf,26,false,false
transferFrom,spentTotal,27,true,false
decreaseAllowanceTotal,allowance,29,false,false
allowanceTotal,allowance,29,false,false
spentTotal,allowance,29,false,false
burn,allBurn,30,true,false
allowance,increaseAllowance,31,false,true
increaseAllowance,allowanceTotal,33,true,false
