#body,head,ruleId,isAgg,isTx
transferFrom,transfer,0,false,false
balanceOf,burnFrom,2,false,true
allowance,burnFrom,2,false,true
mint,allMint,3,true,false
totalBalances,unequalBalance,4,false,false
totalSupply,unequalBalance,4,false,false
balanceOf,burn,5,false,true
owner,burn,5,false,true
totalMint,balanceOf,6,false,false
totalIn,balanceOf,6,false,false
totalBurn,balanceOf,6,false,false
totalOut,balanceOf,6,false,false
transferFrom,spentTotal,7,true,false
transfer,totalIn,9,true,false
burn,totalBurn,10,true,false
mint,totalMint,11,true,false
allBurn,totalSupply,12,false,false
allMint,totalSupply,12,false,false
balanceOf,transfer,13,false,true
burnFrom,burn,14,false,false
transfer,totalOut,15,true,false
balanceOf,totalBalances,16,true,false
spentTotal,allowance,17,false,false
allowanceTotal,allowance,17,false,false
owner,mint,18,false,true
allowance,increaseAllowance,19,false,true
balanceOf,transferFrom,20,false,true
allowance,transferFrom,20,false,true
burn,allBurn,21,true,false
burnFrom,transferFrom,23,false,false
increaseAllowance,allowanceTotal,24,true,false
