#body,head,ruleId,isAgg,isTx
issueByPartition,allMint,0,true,false
owner,issueByPartition,1,false,true
balanceOfByPartition,totalBalancesByPartition,2,true,false
issueTotalByPartition,totalSupplyByPartition,4,false,false
redeemTotalByPartition,totalSupplyByPartition,4,false,false
issueByPartition,issueTotalByPartition,5,true,false
transferByPartition,totalOut,6,true,false
allBurn,totalSupply,7,false,false
allMint,totalSupply,7,false,false
issueByPartition,totalMint,8,true,false
owner,redeemByPartition,9,false,true
balanceOfByPartition,redeemByPartition,9,false,true
redeemByPartition,allBurn,10,true,false
totalBalancesByPartition,unequalBalance,12,false,false
totalSupplyByPartition,unequalBalance,12,false,false
redeemByPartition,redeemTotalByPartition,13,true,false
redeemByPartition,totalBurn,14,true,false
transferByPartition,totalIn,15,true,false
totalIn,balanceOfByPartition,16,false,false
totalBurn,balanceOfByPartition,16,false,false
totalMint,balanceOfByPartition,16,false,false
totalOut,balanceOfByPartition,16,false,false
balanceOfByPartition,transferByPartition,17,false,true
